Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\IMG\robocam_2018_09_19_18_49_43_045.jpg;0;0;1;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_129.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_210.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_292.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_380.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_462.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_548.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_622.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_714.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_791.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_868.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_43_959.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_44_037.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_44_119.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_44_199.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_44_284.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_44_366.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
D:\IMG\robocam_2018_09_19_18_49_44_447.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
